holiday_id,holiday_name,holiday_month,holiday_date,holiday_img,holiday_blurb,holiday_email,Good to Go,Needs Updating,New Holiday for Date
4,Trivia Day,1,4,/static/media/holiday_images/1-january/1-4-trivia_day.jpg,"Trivia Day is an annual celebration rooted in knowledge, skill and community spirit. This day commemorates trivia games which have been popular across cultures for centuries. On this day, trivia-fanatics come together in teams to answer questions from a variety of topics, from history to sport to pop culture. Get ready to test your trivia knowledge and have some fun!","It's Trivia Day! Get your team together and brush up on your facts to be crowned trivia champions. From quick-fire rounds to head-to-head match ups, show off your knowledge and win some bragging rights. Participate in this fun and energizing day of trivia to challenge yourself and others.",,,
7,National Pass Gas Day,1,7,/static/media/holiday_images/1-january/1-7-national_pass_gas_day.jpg,"National Pass Gas Day is celebrated every year. This quirky holiday celebrates the natural response everyone experiences after eating certain foods, and encourages people to let it all out and not worry about it. It originally started as a prank between friends in 1998, and has since grown into a national holiday for gas-lovers everywhere.","National Pass Gas Day allows everyone to be their gaseous best! Celebrated annually on this day, this day encourages us to let it rip and boldly toot our own horns. Pass gas without guilt or shame, and take a day to celebrate our inner flatulence. It's the perfect time to pass the fun!",,,
8,Show and Tell at Work Day,1,8,/static/media/holiday_images/1-january/1-8-show_and_tell_at_work_day.jpg,"Show and Tell at Work Day celebrates sharing knowledge and ideas among colleagues. It was created by Carrington Crowley, a renowned speaker, consultant and workplace adviser, to promote collaboration and open communication in the workplace. Every year on this day, employees have the opportunity to demonstrate skills and share experiences with their colleagues.","Show and Tell at Work Day is a fun opportunity to share something meaningful with your colleagues. Bring in a cherished item, tell a personal story, or demonstrate something special. Show and Tell is a great way to learn more about each other and foster creative bonds in the workplace.",,,
3,Fruitcake Toss Day,1,3,/static/media/holiday_images/1-january/1-3-fruitcake_toss_day.jpg,"Rooted in a tradition of dating back to the Victorian era, this fun-filled event encourages people to symbolically throw away their troubles by tossing a fruitcake. Now held in dozens of countries, it's the perfect way to end the year with a good laugh.","Fruitcake Toss Day is an annual tradition that celebrates the joy of getting rid of unwanted fruitcakes. Participants take aim and hurl unwanted cakes as far as they can, cheered on by family, friends, and spectators. The festive event is a great way to blow off steam and celebrate the new year with laughter and good vibes!",,,
6,National Shortbread Day,1,6,/static/media/holiday_images/1-january/1-6-national_shortbread_day.jpg,"National Shortbread Day is all about celebrating the tradition of baking the delicious crumbly Scottish biscuit! Shortbread first became popular in the 16th century as an exclusive treat for Royalty. Celebrated annually, bakers of all levels of skill come together to share in this timeless classic.","National Shortbread Day is an annual celebration of the classic, buttery Scottish cookie. This beloved treat has been savored for centuries, and each December the world gathers to honor its rich heritage. Shortbread lovers everywhere go wild for this special day and enjoy a slice (or an entire tray) of their favorite snack.",,,
10,Peculiar People Day,1,10,/static/media/holiday_images/1-january/1-10-peculiar_people_day.jpg,"Peculiar People Day celebrates the uniqueness of every individual and honours those who have forged their own paths in life. It was created in 1993 by author Ron Elliott, who sought to call attention to individuality and create an occasion to offer thanks to those who live differently. Celebrate your uniqueness and be proud of your peculiarities!","Peculiar People Day is a joyful celebration of uniqueness! Join the festivities by wearing an eye-catching outfit, baking an unusual cake, or sharing weird stories with friends. It's a day of inclusivity and laughter - come join the fun!",,,
13,National Rubber Ducky Day,1,13,/static/media/holiday_images/1-january/1-13-national_rubber_ducky_day.jpg,"National Rubber Ducky Day celebrates the iconic bath time toy we all know and love! The first rubber duck was created in the late 1800s and ever since then, duck-lovers have been celebrating this special day of appreciation each year. So grab your ducky and make some waves!","Celebrate National Rubber Ducky Day today! Get a cute rubber duck, take it out to your nearest body of water, or just give it a hug - it's a day for honoring the cheerful little quackers!",,,
16,National Nothing Day,1,16,/static/media/holiday_images/1-january/1-16-national_nothing_day.jpg,"National Nothing Day is an annual holiday celebrated each year. It's purpose is to simply celebrate nothingness and nothing in particular. This day is a chance to take a break from all of the stresses of work, school, and the holiday season and just relax. The holiday has no real origin story, but it was created by newspaper reporter Harold Pullman Coffin in 1973.","National Nothing Day is an ""official"" holiday celebrated on this day each year. It is a day to be aware of all the nothingness in life. Take the day to relax, do nothing, and reflect on the importance of being content with nothing. No gifts, no browsing the internet, no errands, just a day to turn off all the distractions of life and return to nothing.",,,
17,National Hot Buttered Rum Day,1,17,/static/media/holiday_images/1-january/1-17-national_hot_buttered_rum_day.jpg,"National Hot Buttered Rum day is a day celebrating the classic hot winter beverage. Served warm, the spiced buttery rum drink has been around for centuries with historical roots that date back to colonial era America. Each year, celebrate the spirit of the season by enjoying a mug of this classic beverage.","National Hot Buttered Rum Day is the ultimate winter celebration! Enjoy a warm mug of delicious buttered rum, infused with spices, sugar, and butter. This cozy cocktail is sure to bring the festive spirit! So sit back, relax and enjoy a mug on this special day.",,,
12,National Hot Tea Day,1,12,/static/media/holiday_images/1-january/1-12-national_hot_tea_day.jpg,"Celebrate National Hot Tea Day! Every year, people gather around a warm mug of tea in honor of a long-standing tradition of appreciating the comfort it brings. Its popularity can be traced back centuries to the 3rd century BC when it was used for medicinal purposes in China. From green to herbal, hot tea has become an integral part of cultures around the world.","National Hot Tea Day is a day to celebrate one of the world's most beloved beverages. Hot tea is enjoyed for its warmth, its health benefits, and its wide variety of flavors. On this day, take time to savor this warm and calming beverage with friends and family or enjoy a cup of tea with some time to yourself.",,,
15,National Bagel Day,1,15,/static/media/holiday_images/1-january/1-15-national_bagel_day.jpg,"Commonly made of dough shaped into round, ring-like shapes, bagels are chewy and dense with loads of flavour. Bagels have been a classic staple of Jewish cuisine since the 17th century and today many different types and flavours are enjoyed around the world. Celebrate National Bagel Day with your favourite topping!","Though its origin is somewhat unknown, National Bagel Day celebrates the delectable snack enjoyed around the world. Today, celebrate this renowned carb-laden pastry by enjoying your favorite kind with your choice of topping. It's the perfect way to start your day!",,,
19,National Tin Can Day,1,19,/static/media/holiday_images/1-january/1-19-national_tin_can_day.jpg,"National Tin Can Day celebrates the invention of the tin can in 1810. This anniversary recognizes the first use of tin cans to preserve food by Nicolas Appert. Tin cans have become a staple of food preservation, living in our kitchen cupboards and refrigerators. Celebrate with a hearty home-cooked meal out of a tin can!","National Tin Can Day celebrates the material and artistry of tin cans! Each year, tin can aficionados all over the world celebrate this versatile material by sharing recipes and tips for upcycling, displaying vintage cans, and creating art from them. Join in today and get creative with tin!",,,
